City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bethel,US,66.29,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
1,Cabo San Lucas,MX,74.5,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
3,Martapura,ID,77.09,moderate rain,-3.4167,114.85,Montana Hotel Syariah
4,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
5,Hermanus,ZA,69.91,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
6,Butaritari,KI,81.7,few clouds,3.0707,172.7902,Isles Sunset Lodge
8,Hobart,AU,70.02,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
13,Cape Town,ZA,70.12,mist,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
14,Buala,SB,84.63,light rain,-8.145,159.5921,Maringe Lagoon Lodge
15,Atuona,PF,78.89,scattered clouds,-9.8,-139.0333,Villa Enata
19,Rikitea,PF,79.2,overcast clouds,-23.1203,-134.9692,People ThankYou
20,Arraial Do Cabo,BR,78.66,clear sky,-22.9661,-42.0278,Pousada Porto Praia
24,Victoria,HK,68.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
25,Codrington,AU,68.07,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
29,Bredasdorp,ZA,69.12,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
30,Puerto Ayora,EC,76.82,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
31,Bambous Virieux,MU,80.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
33,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
36,Kapaa,US,79.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
37,Avarua,CK,84.25,scattered clouds,-21.2078,-159.775,Paradise Inn
41,Khatra,IN,72.3,clear sky,22.9833,86.85,Aranyak Resort Mukutmanipur
44,Cidreira,BR,74.1,overcast clouds,-30.1811,-50.2056,Hotel Castelo
45,Grand Gaube,MU,80.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
47,Tambura,SS,78.53,broken clouds,5.6,27.4667,Rikito Lodge
58,Zhuhai,CN,68.86,mist,22.2769,113.5678,珠海粤财假日酒店
59,Trelew,AR,68.43,broken clouds,-43.249,-65.3051,Hotel Touring Club
60,Sandy Bay,AU,70.05,broken clouds,-42.913,147.3532,St Ives Hobart Accommodation Tasmania
63,Piacabucu,BR,78.46,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
65,Mar Del Plata,AR,68.09,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
66,New Norfolk,AU,69.66,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
67,Quatre Cocos,MU,80.1,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
68,Lodwar,KE,81.73,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
69,Antofagasta,CL,65.48,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
71,Port Alfred,ZA,75.06,overcast clouds,-33.5906,26.891,The Halyards Hotel
72,Mahebourg,MU,80.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
75,Busselton,AU,75.04,clear sky,-33.65,115.3333,Observatory Guest House
79,Caravelas,BR,76.95,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
80,Waycross,US,73.65,clear sky,31.2136,-82.354,Super 8 by Wyndham Waycross GA
81,Natal,BR,77.22,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
83,Oriximina,BR,74.71,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
84,Port Elizabeth,ZA,74.1,clear sky,-33.918,25.5701,39 On Nile Guest House
87,Acarau,BR,77.63,moderate rain,-2.8856,-40.12,castelo pizzaria
89,Maragogi,BR,79.05,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
92,Tautira,PF,87.82,light rain,-17.7333,-149.15,Pension Oaoa
94,Port-Gentil,GA,81.84,overcast clouds,-0.7193,8.7815,Fengshui Residence
97,Tshikapa,CD,69.37,light rain,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
101,Souillac,MU,80.37,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
111,Port Blair,IN,75.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
113,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
116,Kavieng,PG,82.29,moderate rain,-2.5744,150.7967,Nusa Island Retreat
121,Westport,US,67.55,clear sky,41.1415,-73.3579,The Inn at Longshore
123,Tura,IN,73.44,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
124,Nizwa,OM,67.68,few clouds,22.9333,57.5333,Orient Apartments
126,Plainview,US,67.51,few clouds,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
129,Esperance,AU,69.64,broken clouds,-33.8667,121.9,Hospitality Esperance
130,Vaini,TO,86.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
131,Hithadhoo,MV,82.18,clear sky,-0.6,73.0833,Scoop Guest House
134,Flinders,AU,75.38,moderate rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
139,Namibe,AO,69.69,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
144,Pascagoula,US,71.73,overcast clouds,30.3658,-88.5561,Regency Inn
145,Morropon,PE,78.84,overcast clouds,-5.1822,-79.9689,panaderia jeffeson
148,Alta Floresta,BR,70.36,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
149,Champerico,GT,83.35,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
150,Ulladulla,AU,73.87,light rain,-35.35,150.4667,Sandpiper Motel
153,Isangel,VU,84.76,clear sky,-19.55,169.2667,Tanna Lodge
156,Quang Ngai,VN,78.49,scattered clouds,15.1167,108.8,Central Hotel
160,Dwarka,IN,71.92,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
161,Collie,AU,76.95,clear sky,-33.3667,116.15,Collie Ridge
162,Bengkulu,ID,81.59,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
164,Touros,BR,76.1,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
168,Mount Gambier,AU,66.11,overcast clouds,-37.8333,140.7667,The Commodore
170,Samana,DO,73.36,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
171,Puerto Leguizamo,CO,75.54,overcast clouds,-0.1934,-74.7819,la casona de juancho
172,Alofi,NU,85.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
174,Paita,PE,74.93,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
177,Dillon,US,73.38,clear sky,34.4166,-79.3712,Dillon Express Inn
178,Trinidad,BO,74.93,overcast clouds,-14.8333,-64.9,Hotel Piesta
180,Bahia Blanca,AR,65.03,light rain,-38.7196,-62.2724,Hotel Argos
181,Buchanan,LR,78.76,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
182,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
183,Japura,ID,81.5,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
185,Salalah,OM,71.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
189,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
190,Gwadar,PK,72.39,overcast clouds,25.1216,62.3254,Sadaf Resort
193,Sao Francisco,BR,69.17,light rain,-15.9486,-44.8644,Pousada Peixe Vivo
194,Harper,LR,79.68,few clouds,4.375,-7.7169,Screensaver
195,La Union,PE,76.21,overcast clouds,-5.4,-80.75,Los Portales
201,Katherine,AU,88.12,overcast clouds,-14.4667,132.2667,Pine Tree Motel
206,Batticaloa,LK,78.62,scattered clouds,7.7102,81.6924,Grand Star Guest House
209,Junagarh,IN,73.17,clear sky,19.8667,82.9333,Hotel Swagat
211,Mogadishu,SO,78.04,broken clouds,2.0371,45.3438,Hotel Juba
215,San Vicente,AR,71.89,broken clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
221,Mwense,ZM,66.67,overcast clouds,-10.3845,28.698,Mwense Council Guest House
222,Butterworth,MY,80.64,few clouds,5.3991,100.3638,Cititel Penang
224,Nelson,NZ,75.79,broken clouds,-41.2833,173.2833,Trailways Hotel
227,San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Pirineos
233,Pine Bluff,US,77.07,overcast clouds,34.2284,-92.0032,"Holiday Inn Express & Suites Pine Bluff, an IHG Hotel"
235,Teluk Nibung,ID,80.15,overcast clouds,3.001,99.8164,Hotel Assyifa
237,Pala,TD,84.52,broken clouds,9.3642,14.9046,Nectar Hôtel de Pala
238,Srandakan,ID,81.66,broken clouds,-7.9386,110.2506,Puri Brata
241,Sambava,MG,73.71,scattered clouds,-14.2667,50.1667,Melrose
247,Chuy,UY,70.11,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
251,Rawson,AR,68.07,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
