,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bethel,US,41.3712,-73.414,66.29,80,0,13.8,clear sky
1,Cabo San Lucas,MX,22.8909,-109.9124,74.5,68,0,4.61,clear sky
2,Clyde River,CA,70.4692,-68.5914,-5.57,84,0,4.61,clear sky
3,Martapura,ID,-3.4167,114.85,77.09,94,40,4.61,moderate rain
4,Vila Velha,BR,-20.3297,-40.2925,78.75,83,20,3.44,few clouds
5,Hermanus,ZA,-34.4187,19.2345,69.91,89,98,2.51,light rain
6,Butaritari,KI,3.0707,172.7902,81.7,77,16,16.51,few clouds
7,Torbay,CA,47.6666,-52.7314,24.76,74,75,5.75,broken clouds
8,Hobart,AU,-42.8794,147.3294,70.02,47,75,11.5,broken clouds
9,Stornoway,GB,58.2093,-6.3865,44.56,79,100,10.36,overcast clouds
10,Andra,RU,62.5147,65.8878,-13.52,92,100,10.51,overcast clouds
11,Barrow,US,71.2906,-156.7887,10.42,72,100,17.27,overcast clouds
12,Jalu,LY,29.0331,21.5482,56.37,66,100,7.52,overcast clouds
13,Cape Town,ZA,-33.9258,18.4232,70.12,90,75,17.27,mist
14,Buala,SB,-8.145,159.5921,84.63,73,100,2.68,light rain
15,Atuona,PF,-9.8,-139.0333,78.89,77,29,11.59,scattered clouds
16,Provideniya,RU,64.3833,-173.3,14.52,94,100,15.55,overcast clouds
17,Mataura,NZ,-46.1927,168.8643,55.47,75,100,7.72,moderate rain
18,Kalnciems,LV,56.8011,23.6097,33.85,83,100,9.71,overcast clouds
19,Rikitea,PF,-23.1203,-134.9692,79.2,78,100,17.92,overcast clouds
20,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,83,0,14.97,clear sky
21,Sisimiut,GL,66.9395,-53.6735,8.42,93,100,11.14,overcast clouds
22,Bluff,NZ,-46.6,168.3333,55.8,59,45,15.99,scattered clouds
23,Kamenka,RU,51.3223,42.7678,16.75,97,100,8.84,overcast clouds
24,Victoria,HK,22.2855,114.1577,68.32,90,100,1.01,overcast clouds
25,Codrington,AU,-38.2667,141.9667,68.07,63,53,12.68,broken clouds
26,Sayansk,RU,54.1088,102.1648,26.87,90,99,3.94,overcast clouds
27,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,80,40,6.91,scattered clouds
28,Greytown,ZA,-29.0642,30.5928,60.35,99,24,2.3,few clouds
29,Bredasdorp,ZA,-34.5322,20.0403,69.12,78,99,6.91,overcast clouds
30,Puerto Ayora,EC,-0.7393,-90.3518,76.82,84,74,3.4,light rain
31,Bambous Virieux,MU,-20.3428,57.7575,80.22,83,75,13.8,broken clouds
